timestamp,open,high,low,close
2026-04-13 09:30:00,6806.47,6806.47,6800.00,6800.28
2026-04-13 09:31:00,6800.22,6800.22,6797.98,6799.40
2026-04-13 09:32:00,6799.92,6800.59,6796.14,6796.24
2026-04-13 09:33:00,6795.85,6797.97,6794.68,6797.45
2026-04-13 09:34:00,6797.87,6798.68,6797.39,6798.44
2026-04-13 09:35:00,6798.50,6798.50,6794.91,6795.33
2026-04-13 09:36:00,6795.22,6795.79,6791.48,6791.62
2026-04-13 09:37:00,6791.66,6793.56,6790.42,6793.23
2026-04-13 09:38:00,6793.47,6795.72,6793.34,6795.35
2026-04-13 09:39:00,6795.73,6797.32,6795.43,6796.06
2026-04-13 09:40:00,6795.84,6795.84,6794.21,6795.20
2026-04-13 09:41:00,6795.16,6795.93,6793.57,6795.24
2026-04-13 09:42:00,6795.32,6797.34,6794.10,6794.74
2026-04-13 09:43:00,6794.77,6796.06,6793.53,6795.52
2026-04-13 09:44:00,6795.74,6795.74,6792.35,6793.04
2026-04-13 09:45:00,6793.03,6793.81,6790.02,6790.28
2026-04-13 09:46:00,6790.43,6793.05,6790.19,6792.46
2026-04-13 09:47:00,6792.86,6793.23,6791.00,6792.20
2026-04-13 09:48:00,6792.16,6803.44,6791.26,6802.39
2026-04-13 09:49:00,6802.21,6811.70,6801.71,6811.42
2026-04-13 09:50:00,6811.32,6816.54,6811.09,6815.98
2026-04-13 09:51:00,6815.88,6815.88,6807.80,6807.82
2026-04-13 09:52:00,6807.81,6807.97,6804.65,6806.26
2026-04-13 09:53:00,6806.30,6807.23,6803.52,6807.09
2026-04-13 09:54:00,6807.15,6810.60,6806.46,6810.60
2026-04-13 09:55:00,6810.87,6811.33,6807.75,6809.64
2026-04-13 09:56:00,6809.55,6812.20,6809.38,6812.20
2026-04-13 09:57:00,6812.03,6813.39,6811.40,6813.39
2026-04-13 09:58:00,6813.32,6815.53,6812.63,6815.53
2026-04-13 09:59:00,6815.58,6820.13,6814.72,6820.09
2026-04-13 10:00:00,6820.77,6822.88,6819.58,6822.88
2026-04-13 10:01:00,6822.87,6823.15,6819.04,6819.04
2026-04-13 10:02:00,6818.66,6818.66,6815.09,6816.03
2026-04-13 10:03:00,6815.86,6815.86,6812.76,6814.08
2026-04-13 10:04:00,6814.16,6818.32,6814.16,6817.64
2026-04-13 10:05:00,6817.62,6818.80,6815.94,6817.45
2026-04-13 10:06:00,6817.63,6819.85,6817.44,6819.30
2026-04-13 10:07:00,6819.31,6821.10,6818.34,6819.57
2026-04-13 10:08:00,6819.43,6819.43,6816.89,6818.24
2026-04-13 10:09:00,6817.98,6818.02,6816.67,6817.90
2026-04-13 10:10:00,6817.76,6817.78,6815.35,6815.83
2026-04-13 10:11:00,6816.00,6816.65,6814.90,6815.01
2026-04-13 10:12:00,6815.04,6815.45,6813.64,6813.98
2026-04-13 10:13:00,6813.79,6814.38,6812.56,6813.50
2026-04-13 10:14:00,6813.26,6815.47,6812.77,6814.61
2026-04-13 10:15:00,6814.70,6814.73,6810.55,6810.73
2026-04-13 10:16:00,6810.69,6812.03,6810.51,6810.62
2026-04-13 10:17:00,6810.67,6811.86,6809.40,6809.40
2026-04-13 10:18:00,6809.42,6810.67,6809.34,6809.79
2026-04-13 10:19:00,6809.63,6813.18,6809.54,6813.14
2026-04-13 10:20:00,6813.23,6814.47,6812.77,6813.13
2026-04-13 10:21:00,6813.11,6816.78,6812.94,6816.73
2026-04-13 10:22:00,6816.80,6818.50,6816.73,6816.73
2026-04-13 10:23:00,6816.70,6817.52,6808.74,6813.53
2026-04-13 10:24:00,6813.71,6817.68,6813.60,6817.68
2026-04-13 10:25:00,6817.59,6818.38,6816.12,6817.18
2026-04-13 10:26:00,6817.58,6818.15,6816.86,6817.07
2026-04-13 10:27:00,6817.11,6817.84,6815.84,6816.84
2026-04-13 10:28:00,6816.87,6816.96,6816.16,6816.74
2026-04-13 10:29:00,6816.75,6819.25,6816.37,6818.87
2026-04-13 10:30:00,6819.03,6819.56,6818.51,6819.56
2026-04-13 10:31:00,6819.43,6821.91,6819.19,6821.91
2026-04-13 10:32:00,6822.07,6822.98,6819.36,6819.56
2026-04-13 10:33:00,6819.56,6820.74,6819.32,6820.44
2026-04-13 10:34:00,6820.35,6822.03,6820.14,6821.79
2026-04-13 10:35:00,6821.50,6821.50,6818.81,6819.07
2026-04-13 10:36:00,6819.15,6819.29,6817.61,6817.95
2026-04-13 10:37:00,6817.95,6817.95,6816.93,6817.86
2026-04-13 10:38:00,6817.73,6819.30,6817.51,6818.87
2026-04-13 10:39:00,6819.02,6819.02,6817.20,6818.84
2026-04-13 10:40:00,6818.78,6820.22,6818.57,6820.13
2026-04-13 10:41:00,6820.11,6820.34,6819.53,6819.92
2026-04-13 10:42:00,6819.94,6820.99,6819.77,6820.99
2026-04-13 10:43:00,6820.94,6822.06,6820.94,6821.18
2026-04-13 10:44:00,6821.20,6824.27,6821.20,6823.72
2026-04-13 10:45:00,6823.74,6824.61,6823.42,6824.61
2026-04-13 10:46:00,6824.54,6824.54,6822.73,6822.84
2026-04-13 10:47:00,6822.85,6823.28,6820.56,6820.56
2026-04-13 10:48:00,6820.59,6820.61,6819.32,6820.00
2026-04-13 10:49:00,6819.97,6820.83,6819.82,6820.09
2026-04-13 10:50:00,6820.11,6820.84,6819.22,6820.68
2026-04-13 10:51:00,6820.45,6821.77,6819.36,6821.26
2026-04-13 10:52:00,6821.30,6823.80,6821.29,6823.52
2026-04-13 10:53:00,6823.35,6824.57,6822.62,6824.49
2026-04-13 10:54:00,6824.45,6825.90,6824.16,6825.09
2026-04-13 10:55:00,6825.15,6825.15,6823.05,6824.12
2026-04-13 10:56:00,6824.29,6825.50,6824.05,6825.29
