timestamp,open,high,low,close
2026-04-13,6806.47,6887.00,6790.02,6886.24
2026-04-14,6910.20,6969.42,6905.17,6967.38
2026-04-15,6978.17,7026.24,6967.13,7022.95
2026-04-16,7037.78,7051.23,7008.52,7041.28
2026-04-17,7074.55,7147.52,7074.55,7126.06
2026-04-20,7117.05,7122.65,7084.41,7109.14
2026-04-21,7122.64,7137.27,7050.20,7064.01
2026-04-22,7102.91,7138.64,7102.91,7137.90
2026-04-23,7118.80,7147.78,7046.55,7108.40
2026-04-24,7136.48,7168.59,7112.82,7165.08
2026-04-27,7152.72,7178.74,7146.72,7173.91
