timestamp,open,high,low,close
2026-04-13 09:00:00,6806.47,6820.13,6790.02,6820.09
2026-04-13 10:00:00,6820.77,6830.41,6808.74,6829.3
2026-04-13 11:00:00,6829.22,6829.22,6816.12,6818.67
2026-04-13 12:00:00,6818.69,6851.79,6814.09,6847.06
2026-04-13 13:00:00,6847.11,6851.3,6842.58,6845.28
2026-04-13 14:00:00,6845.26,6858.37,6845.26,6856.99
2026-04-13 15:00:00,6857.01,6887.0,6854.53,6885.91
2026-04-13 16:00:00,6885.0,6886.24,6885.0,6886.24
2026-04-14 09:00:00,6910.2,6924.56,6905.17,6919.25
2026-04-14 10:00:00,6919.08,6940.97,6918.81,6940.23
2026-04-14 11:00:00,6940.05,6957.49,6933.24,6952.95
2026-04-14 12:00:00,6953.02,6961.72,6952.28,6953.62
2026-04-14 13:00:00,6953.59,6965.23,6953.58,6961.5
2026-04-14 14:00:00,6961.45,6963.09,6945.81,6951.56
2026-04-14 15:00:00,6951.55,6969.42,6950.93,6966.78
2026-04-14 16:00:00,6967.63,6967.8,6967.37,6967.38
2026-04-15 09:00:00,6978.17,6988.22,6967.13,6980.77
2026-04-15 10:00:00,6981.46,6995.26,6973.57,6991.72
2026-04-15 11:00:00,6991.63,6999.84,6988.61,6994.96
2026-04-15 12:00:00,6993.58,7001.92,6979.96,6988.83
2026-04-15 13:00:00,6988.86,7003.82,6987.75,6998.22
2026-04-15 14:00:00,6998.24,7021.66,6995.72,7020.39
2026-04-15 15:00:00,7020.24,7026.24,7016.49,7022.1
2026-04-15 16:00:00,7022.57,7022.96,7022.57,7022.95
2026-04-16 09:00:00,7037.78,7040.03,7008.52,7018.56
2026-04-16 10:00:00,7017.16,7025.84,7010.3,7024.02
2026-04-16 11:00:00,7023.94,7046.86,7023.94,7046.6
2026-04-16 12:00:00,7046.58,7051.23,7026.51,7031.28
2026-04-16 13:00:00,7031.48,7038.64,7022.39,7029.89
2026-04-16 14:00:00,7029.81,7034.26,7018.26,7030.64
2026-04-16 15:00:00,7030.61,7042.84,7029.86,7039.37
